node,gas,method,model,config,basis,period,ref_col,pred_col,clip_zero,source_table,orig_R2_test,repro_diff,n,n_scored,R2,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level
5,PM2.5,ml,DNN,C,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5358923988262456,-7.121110146002252e-09,3703,3703,0.5358923917051355,4.055906095584551,2.8650214937999703,1.0282080561735487,43.70313761261012,0.7914233219746117,Marginal
5,PM2.5,ml,DNN,C,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5358923988262456,,3701,3701,0.5359102926177061,4.056914384791139,2.866097347570799,1.0292360821919517,43.71456062570823,0.7914485098543591,Marginal
5,PM2.5,ml,DNN,C,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5358923988262456,,18817,18817,0.6313650775168804,3.3224749201237804,2.337946075812064,0.09166937370561809,35.865125358954764,0.8012382352997098,Marginal
5,PM2.5,ml,DNN,C,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5358923988262456,,18815,18815,0.631369338277247,3.322630496755646,2.33810167429202,0.09177203889289752,35.86690197045146,0.8012408511416792,Marginal
5,PM2.5,ml,XGBoost,A,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6078683289123752,0.0,3701,3701,0.6078683289123752,3.7291584300238196,2.63014078507453,0.8689886317707918,40.18288452999725,0.7940559521936188,Marginal
5,PM2.5,ml,XGBoost,A,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6078683289123752,,3701,3701,0.6078683289123752,3.7291584300238196,2.63014078507453,0.8689886317707918,40.18288452999725,0.7940559521936188,Marginal
5,PM2.5,ml,XGBoost,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6078683289123752,,18815,18815,0.6933336847222605,3.0305353656773697,2.1239516816302686,0.1717757654354796,32.71381364400034,0.8335799398518208,Marginal
5,PM2.5,ml,XGBoost,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6078683289123752,,18815,18815,0.6933336847222605,3.0305353656773697,2.1239516816302686,0.1717757654354796,32.71381364400034,0.8335799398518208,Marginal
5,PM2.5,ml,LSTM,A,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5147492499978008,-1.4493580335894762e-08,3701,1907,0.5147492355042205,3.981224147926161,2.840120807391658,0.9315890888300127,41.354074024158116,0.735895318850261,Marginal
5,PM2.5,ml,LSTM,A,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5147492499978008,,3701,1907,0.5147492355042205,3.981224147926161,2.840120807391658,0.9315890888300127,41.354074024158116,0.735895318850261,Marginal
