gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path
O3,A,LightGBM,13391,7094,12,0.9133983029787932,-1.3646421957003487,27.030568305500942,25.183136857987407,24.850460984923664,85.10747069038067,0.8026873893240696,Inaceptable,,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",o3_a_lightgbm.joblib
O3,A,DNN,13391,7094,12,0.7808402828472287,-3.000264704585637,35.15740600002596,30.475992024025324,29.1784114810228,110.69533821410975,0.4944860208664723,Inaceptable,,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",o3_a_dnn.pt
O3,A,XGBoost,13391,7094,12,0.9339871245987864,-0.7449321478122826,23.21997410577153,20.866331419592026,20.179249811954698,73.10957147860549,0.7762433133639232,Inaceptable,,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",o3_a_xgboost.joblib
O3,B,RF,13391,7094,13,0.9501812370183302,-0.6732351906875669,22.73793151318818,20.304040377973816,19.491976319113675,71.59182958890004,0.7582170911360703,Inaceptable,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 10}",o3_b_rf.joblib
O3,B,LightGBM,13391,7094,13,0.9318464082747128,-1.7731180078883613,29.27228565816585,27.379562511915317,27.01370862793086,92.16566094860102,0.7731903231417607,Inaceptable,,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",o3_b_lightgbm.joblib
O3,B,DNN,13391,7094,13,0.8176486823542259,-6.968709497630614,49.621107884183225,45.04808248319259,44.57607936279109,156.2352273599035,0.4141913158504116,Inaceptable,,"{'lr': 0.0001, 'hidden_dim_2': 32, 'hidden_dim_1': 32, 'epochs': 200, 'dropout': 0.2, 'batch_size': 128}",o3_b_dnn.pt
O3,B,XGBoost,13391,7094,13,0.9321064183634448,-1.0999002391913288,25.472512886516256,23.36196807020719,22.944624942629844,80.20183369427497,0.7950022599771284,Inaceptable,,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",o3_b_xgboost.joblib
O3,C,RF,14643,7836,8,0.775925038798219,-1.5433699644831154,27.65430659414656,22.055115177534876,20.91205076934151,85.63429223821714,0.0494809449386823,Inaceptable,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 5}",o3_c_rf.joblib
O3,C,LightGBM,14643,7836,8,0.7233683564931586,-2.595417181223981,32.880063605917684,27.721915262178516,27.171059040446824,101.8163650588982,0.0481518602741339,Inaceptable,,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",o3_c_lightgbm.joblib
O3,C,DNN,14643,7836,8,0.4505566094515283,-4.508925296859689,40.699722291824834,29.948554085964943,26.41505912417172,126.03071065575446,0.0637405992014433,Inaceptable,,"{'lr': 0.0005, 'hidden_dim_2': 16, 'hidden_dim_1': 128, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",o3_c_dnn.pt
O3,C,XGBoost,14643,7836,8,0.7857544864182482,-1.9769123096837864,29.918583314229156,24.344176167214812,23.28666243297158,92.6458487817027,0.044569700689974,Inaceptable,,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",o3_c_xgboost.joblib
